{'source': 'The Sergeant', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 97.42, 'tablename': 'resourceByAvatar'}
{'source': 'Aerolyst', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 48.71, 'tablename': 'resourceByAvatar'}
{'source': 'Aerolyst', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 1.29, 'tablename': 'resourceByAvatar'}
{'source': 'Brachiolyst', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 9.74, 'tablename': 'resourceByAvatar'}
{'source': 'Brachiolyst', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 0.26, 'tablename': 'resourceByAvatar'}
{'source': 'Summulyst', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 48.71, 'tablename': 'resourceByAvatar'}
{'source': 'Summulyst', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 1.29, 'tablename': 'resourceByAvatar'}
{'source': 'Tyro Battalyst', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 50, 'tablename': 'resourceByAvatar'}
{'source': 'Tyro Conculyst', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 48.71, 'tablename': 'resourceByAvatar'}
{'source': 'Tyro Conculyst', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 1.29, 'tablename': 'resourceByAvatar'}
{'source': 'Tyro Conculyst', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 50, 'tablename': 'resourceByAvatar'}
{'source': 'Ortholyst', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 48.71, 'tablename': 'resourceByAvatar'}
{'source': 'Ortholyst', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 1.29, 'tablename': 'resourceByAvatar'}
{'source': 'Symbilyst', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 48.71, 'tablename': 'resourceByAvatar'}
{'source': 'Symbilyst', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 1.29, 'tablename': 'resourceByAvatar'}
{'source': 'Juno Fog Comba', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Juno Sap Comba', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Juno Nul Comba', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Juno Slo Comba', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Juno Elite Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Juno Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Juno Nullifier Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Juno Sniper Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Juno Tech', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Juno Malleus Machinist', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Juno Dera Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Juno Disc Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Juno Geminex Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Juno Glaxion Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Juno Jactus Osprey', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Juno Oxium Osprey', 'itemName': 'Oxium', 'rarity': 'Common', 'chance': 100, 'tablename': 'resourceByAvatar'}
{'source': 'Juno Shield Osprey', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Test Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Terra Jackal', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 15, 'tablename': 'resourceByAvatar'}
{'source': 'Vomvalyst', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 50, 'tablename': 'resourceByAvatar'}
{'source': 'Eidolon Vomvalyst', 'itemName': 'Intact Sentient Core', 'rarity': 'Common', 'chance': 100, 'tablename': 'resourceByAvatar'}
{'source': 'Zealoid Prelate', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 4.87, 'tablename': 'resourceByAvatar'}
{'source': 'Zealoid Prelate', 'itemName': 'Nitain Extract', 'rarity': 'Rare', 'chance': 0.13, 'tablename': 'resourceByAvatar'}
{'source': 'Saturn Six Fugitive', 'itemName': 'Neurodes', 'rarity': 'Common', 'chance': 2.5, 'tablename': 'resourceByAvatar'}
{'source': 'Saturn Six Fugitive', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 2.5, 'tablename': 'resourceByAvatar'}
{'source': 'Wolf Of Saturn Six', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 4.87, 'tablename': 'resourceByAvatar'}
{'source': 'Wolf Of Saturn Six', 'itemName': 'Nitain Extract', 'rarity': 'Rare', 'chance': 0.13, 'tablename': 'resourceByAvatar'}
{'source': 'Wolf Of Saturn Six', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 4.87, 'tablename': 'resourceByAvatar'}
{'source': 'Wolf Of Saturn Six', 'itemName': 'Nitain Extract', 'rarity': 'Rare', 'chance': 0.13, 'tablename': 'resourceByAvatar'}
{'source': 'Guardsman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Entrati Netracell Coffer (Level 220 - 240)', 'itemName': 'Crimson Archon Shard', 'rarity': 'Uncommon', 'chance': 17.5, 'tablename': 'resourceByAvatar'}
{'source': 'Entrati Netracell Coffer (Level 220 - 240)', 'itemName': 'Azure Archon Shard', 'rarity': 'Uncommon', 'chance': 17.5, 'tablename': 'resourceByAvatar'}
{'source': 'Entrati Netracell Coffer (Level 220 - 240)', 'itemName': 'Amber Archon Shard', 'rarity': 'Uncommon', 'chance': 17.5, 'tablename': 'resourceByAvatar'}
{'source': 'Entrati Netracell Coffer (Level 220 - 240)', 'itemName': 'Melee Arcane Adapter', 'rarity': 'Uncommon', 'chance': 15, 'tablename': 'resourceByAvatar'}
{'source': 'Entrati Netracell Coffer (Level 220 - 240)', 'itemName': 'Melee Crescendo', 'rarity': 'Uncommon', 'chance': 10, 'tablename': 'resourceByAvatar'}
{'source': 'Entrati Netracell Coffer (Level 220 - 240)', 'itemName': 'Melee Duplicate', 'rarity': 'Uncommon', 'chance': 10, 'tablename': 'resourceByAvatar'}
{'source': 'Entrati Netracell Coffer (Level 220 - 240)', 'itemName': 'Tauforged Crimson Archon Shard', 'rarity': 'Rare', 'chance': 4.17, 'tablename': 'resourceByAvatar'}
{'source': 'Entrati Netracell Coffer (Level 220 - 240)', 'itemName': 'Tauforged Azure Archon Shard', 'rarity': 'Rare', 'chance': 4.17, 'tablename': 'resourceByAvatar'}
{'source': 'Entrati Netracell Coffer (Level 220 - 240)', 'itemName': 'Tauforged Amber Archon Shard', 'rarity': 'Rare', 'chance': 4.17, 'tablename': 'resourceByAvatar'}
{'source': 'Zenith Granum Crown Cache', 'itemName': 'Zenith Granum Crown', 'rarity': 'Common', 'chance': 100, 'tablename': 'resourceByAvatar'}
{'source': 'Granum Crown Cache', 'itemName': 'Granum Crown', 'rarity': 'Common', 'chance': 100, 'tablename': 'resourceByAvatar'}
{'source': 'Exemplar Granum Crown Cache', 'itemName': 'Exemplar Granum Crown', 'rarity': 'Common', 'chance': 100, 'tablename': 'resourceByAvatar'}
{'source': 'Infested Oni', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Arcane Boiler', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Nauseous Void Shade', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Void Shade', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Alad V', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 97.42, 'tablename': 'resourceByAvatar'}
{'source': 'Alad V', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 2.58, 'tablename': 'resourceByAvatar'}
{'source': 'Misery', 'itemName': 'Steel Essence', 'rarity': 'Common', 'chance': 100, 'tablename': 'resourceByAvatar'}
{'source': 'Attack Drone', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Attack Drone', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Ambulas', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 48.71, 'tablename': 'resourceByAvatar'}
{'source': 'Ambulas', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 1.29, 'tablename': 'resourceByAvatar'}
{'source': 'Remech Osprey', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Angst', 'itemName': 'Steel Essence', 'rarity': 'Common', 'chance': 100, 'tablename': 'resourceByAvatar'}
{'source': 'Captain Vor', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 97.42, 'tablename': 'resourceByAvatar'}
{'source': 'Captain Vor', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 2.58, 'tablename': 'resourceByAvatar'}
{'source': 'Mutalist Osprey Carrier', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Nox', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Torment', 'itemName': 'Steel Essence', 'rarity': 'Common', 'chance': 100, 'tablename': 'resourceByAvatar'}
{'source': 'Drover Bursa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Datalyst', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Nemes', 'itemName': 'Oxium', 'rarity': 'Common', 'chance': 100, 'tablename': 'resourceByAvatar'}
{'source': 'Corvette', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Ranger', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Quanta Ranger', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Penta Ranger', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Frigate', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Common Corpus Storage Container', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 19.36, 'tablename': 'resourceByAvatar'}
{'source': 'Common Corpus Storage Container', 'itemName': 'Nav Coordinate', 'rarity': 'Uncommon', 'chance': 5.64, 'tablename': 'resourceByAvatar'}
{'source': 'Common Corpus Storage Container', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 18.97, 'tablename': 'resourceByAvatar'}
{'source': 'Common Corpus Storage Container', 'itemName': 'Nav Coordinate', 'rarity': 'Uncommon', 'chance': 5.53, 'tablename': 'resourceByAvatar'}
{'source': 'Common Corpus Storage Container', 'itemName': 'Oxium', 'rarity': 'Rare', 'chance': 0.5, 'tablename': 'resourceByAvatar'}
{'source': 'Uncommon Corpus Storage Container', 'itemName': 'Cubic Diodes', 'rarity': 'Common', 'chance': 154.88, 'tablename': 'resourceByAvatar'}
{'source': 'Uncommon Corpus Storage Container', 'itemName': 'Isos', 'rarity': 'Uncommon', 'chance': 45.12, 'tablename': 'resourceByAvatar'}
{'source': 'Uncommon Corpus Storage Container', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 19.36, 'tablename': 'resourceByAvatar'}
{'source': 'Uncommon Corpus Storage Container', 'itemName': 'Nav Coordinate', 'rarity': 'Uncommon', 'chance': 5.64, 'tablename': 'resourceByAvatar'}
{'source': 'Uncommon Corpus Storage Container', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 18.97, 'tablename': 'resourceByAvatar'}
{'source': 'Uncommon Corpus Storage Container', 'itemName': 'Nav Coordinate', 'rarity': 'Uncommon', 'chance': 5.53, 'tablename': 'resourceByAvatar'}
{'source': 'Uncommon Corpus Storage Container', 'itemName': 'Oxium', 'rarity': 'Rare', 'chance': 0.5, 'tablename': 'resourceByAvatar'}
{'source': 'Lynx', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 100, 'tablename': 'resourceByAvatar'}
{'source': 'Gox', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Cannon Battery', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Locust Drone', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Carrier', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Corrupted Ancient', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 4, 'tablename': 'resourceByAvatar'}
{'source': 'Corrupted Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Corrupted Heavy Gunner', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Corrupted Lancer', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Corrupted Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Councilor Vay Hek', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 97.42, 'tablename': 'resourceByAvatar'}
{'source': 'Councilor Vay Hek', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 2.58, 'tablename': 'resourceByAvatar'}
{'source': 'Corpus Power Carrier', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Corpus Power Carrier', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 15, 'tablename': 'resourceByAvatar'}
{'source': 'Corpus Tech', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Abandoned Storage Container', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 25, 'tablename': 'resourceByAvatar'}
{'source': 'Sapping Osprey', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Isolator Bursa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Violence', 'itemName': 'Steel Essence', 'rarity': 'Common', 'chance': 100, 'tablename': 'resourceByAvatar'}
{'source': 'Nervo', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Elite Lancer', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Eviscerator', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Elite Crewman', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Kavat', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 19.36, 'tablename': 'resourceByAvatar'}
{'source': 'Kavat', 'itemName': 'Nav Coordinate', 'rarity': 'Uncommon', 'chance': 5.64, 'tablename': 'resourceByAvatar'}
{'source': 'Kubrow', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 19.36, 'tablename': 'resourceByAvatar'}
{'source': 'Kubrow', 'itemName': 'Nav Coordinate', 'rarity': 'Uncommon', 'chance': 5.64, 'tablename': 'resourceByAvatar'}
{'source': 'Kuva Elite Lancer', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Kuva Eviscerator', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Kuva Drahk Master', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Kuva Napalm', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Kuva Heavy Gunner', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Kuva Bombard', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Kuva Hyekka Master', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Kuva Scorch', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Kuva Hellion Carrier', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Kuva Hellion', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Kuva Drahk', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 19.36, 'tablename': 'resourceByAvatar'}
{'source': 'Kuva Drahk', 'itemName': 'Nav Coordinate', 'rarity': 'Uncommon', 'chance': 5.64, 'tablename': 'resourceByAvatar'}
{'source': 'Kuva Lancer', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Kuva Shield Lancer', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Kuva Trooper', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Kuva Seeker', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Kuva Roller', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Kuva Flameblade', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Kuva Butcher', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Kuva Powerclaw', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Kuva Ballista', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Kuva Power Carrier', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Kuva Scorpion', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Draga', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Fusion Moa', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Ghoul Devourer', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Ghoul Auger', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Ghoul Auger Alpha', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Ghoul Expired', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Ghoul Rictus', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Ghoul Rictus Alpha', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Lephantis', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 97.42, 'tablename': 'resourceByAvatar'}
{'source': 'Lephantis', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 2.58, 'tablename': 'resourceByAvatar'}
{'source': 'Infested Corpus', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 100, 'tablename': 'resourceByAvatar'}
{'source': 'Ancient Infested', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 100, 'tablename': 'resourceByAvatar'}
{'source': 'Infested Grineer', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 100, 'tablename': 'resourceByAvatar'}
{'source': 'Artificer', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 97.42, 'tablename': 'resourceByAvatar'}
{'source': 'Artificer', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 2.58, 'tablename': 'resourceByAvatar'}
{'source': 'Carabus', 'itemName': 'Oxium', 'rarity': 'Common', 'chance': 100, 'tablename': 'resourceByAvatar'}
{'source': 'Drahk Master', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Arid Butcher', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Frontier Butcher', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Napalm', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Heavy Gunner', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Arid Heavy Gunner', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Bombard', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Hyekka Master', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Frontier Bailiff', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Bailiff', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Bailiff', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Hyekka', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 19.36, 'tablename': 'resourceByAvatar'}
{'source': 'Hyekka', 'itemName': 'Nav Coordinate', 'rarity': 'Uncommon', 'chance': 5.64, 'tablename': 'resourceByAvatar'}
{'source': 'Ogma', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 12.5, 'tablename': 'resourceByAvatar'}
{'source': 'Bailiff Defector', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Elite Arid Lancer', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Elite Frontier Lancer', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Arid Eviscerator', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Frontier Eviscerator', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Scorch', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Kuva Dargyn', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Frontier Heavy Gunner', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Hellion Power Carrier', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Hellion Power Carrier', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Arid Hellion', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Frontier Hellion', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Sprag', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 100, 'tablename': 'resourceByAvatar'}
{'source': 'Hellion', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': "Ven'Kra Tel", 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 100, 'tablename': 'resourceByAvatar'}
{'source': 'Drahk', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 19.36, 'tablename': 'resourceByAvatar'}
{'source': 'Drahk', 'itemName': 'Nav Coordinate', 'rarity': 'Uncommon', 'chance': 5.64, 'tablename': 'resourceByAvatar'}
{'source': 'Lancer', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Shield Lancer', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Trooper', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Lancer Dreg', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Commander', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 97.42, 'tablename': 'resourceByAvatar'}
{'source': 'Commander', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 2.58, 'tablename': 'resourceByAvatar'}
{'source': 'Commander', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 7, 'tablename': 'resourceByAvatar'}
{'source': 'Common Grineer Storage Container', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 19.36, 'tablename': 'resourceByAvatar'}
{'source': 'Common Grineer Storage Container', 'itemName': 'Nav Coordinate', 'rarity': 'Uncommon', 'chance': 5.64, 'tablename': 'resourceByAvatar'}
{'source': 'Common Grineer Storage Container', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 25, 'tablename': 'resourceByAvatar'}
